created_at,text
2022-12-19 19:20:36,"Die Menschen befanden sich mit Freundinnen, Freunden und Familienmitgliedern auf dem dortigen Weihnachtsmarkt. Heut… https://t.co/FbroZh1AWo"
2022-12-19 19:20:35,Vor 6 Jahren ermordete ein islamistischer Terrorist am Berliner #Breitscheidplatz diese 12 Menschen und verletzte D… https://t.co/J4E0Qz93FP
2022-12-18 21:20:57,"Mit einem furiosen Abschlusskonzert der Festival-Chöre &amp; -Ensembles endete heute das #LouisLewandowskiFestival. 
Wa… https://t.co/T3OaZwhkrn"
2022-12-17 19:45:41,"Das #SchwuZ feiert Geburtstag und wird unglaubliche 45 Jahre alt! 
Es ist queerer #Kulturort, #Wohnzimmer, Ort für… https://t.co/8Ix60C6YXo"
2022-12-17 18:02:41,Jahrzehntelanges Engagement für Solidarität und Menschlichkeit erfährt öffentliche Anerkennung! In einer bewegenden… https://t.co/pJbLEjQHmM
2022-12-16 22:46:48,"„Angabe der Person“ am @DT_Berlin. Eine großartige Inszenierung von  Jossi Wieler mit Fritzi Haberlandt, Bernd Moss… https://t.co/Lg453Bqfue"
2022-12-16 07:56:54,"RT @katjakipping: Aus der Rubrik people who #mademyyear. Liebe #LenaKreck, lieber @klauslederer, die Zusammenarbeit mit Euch im Senat war e…"
2022-12-15 13:54:17,"RT @dielinkeberlin: #LINKE verweigern #CETA die Zustimmung:

https://t.co/zt9mjLsoXd"
2022-12-15 12:46:28,"Gemeinsame #LINKE Erklärung: Wir stimmen #CETA nicht zu
Warum wir das Freihandelsabkommen CETA ablehnen und auch im… https://t.co/XXughYJS8d"
2022-12-15 11:29:14,"@ulfposh .@ulfposh, Lust auf ein Streitgespräch zum Sinn von Steuern, Regulierung, Subventionen? Ich komm gern zu I… https://t.co/jXff5Lfh0v"
2022-12-15 09:14:40,"""Der Unterschied zwischen der Ampel und dem, was wir in Berlin machen: Hier ist nicht die FDP, sondern die… https://t.co/bwRMesCewL"
2022-12-14 17:18:26,"RT @dielinkeberlin: .@klauslederer zur #Berlinwahl:  «Wir wollen verhindern, dass all diejenigen hinten runterfallen, die ohnehin wenig hab…"
2022-12-14 17:17:24,"Heute haben wir unsere Kampagne für die #BerlinWahl2023 vorgestellt😊
Wir wollen uns um #dasWesentliche kümmern - un… https://t.co/3JJGX4Om2q"
2022-12-14 17:10:57,RT @ndaktuell: Die @dielinkeberlin läuft sich warm für den #Wahlkampf auf den Straßen von #Berlin. Nun hat die Partei die dazugehörige Plak…
