id,created_at,text
1632459401851285510,2023-03-05 19:13:45+00:00,einen selbstzerstörerischen Pfad von klimaschädlichen und spekulativ getriebenen Bauexzessen einzuschwenken. Soweit… https://t.co/p9FFgyFs5V
1632459400098066435,2023-03-05 19:13:45+00:00,"Hier ist zum Beispiel gerade der Ort, wo sich russische Dissident:innen und osteuropäische Intellektuelle treffen k… https://t.co/WksgkIaJod"
1632459397799583744,2023-03-05 19:13:44+00:00,"„Eine Metropole, deren Zukunft als Drehkreuz zwischen Mittel- und Westeuropa buchstäblich auf der Hand liegt, und d… https://t.co/RKqypCPxGV"
1632078740015525888,2023-03-04 18:01:08+00:00,"RT @Tobias_Schulze: ""Eine vierköpfige Familie hat im Ergebnis der von Rot-Rot-Grün beschlossenen Entlastungen durchschnittlich rund 400 Eur…"
1632060387586629639,2023-03-04 16:48:13+00:00,"Ich bin so froh, dass es uns gelungen ist, dieses so gut angenommene Format fest zu etablieren &amp; im Haushalt zu ver… https://t.co/J48SVW8BYp"
1632060384772276225,2023-03-04 16:48:12+00:00,"Morgen ist wieder #Museumssonntag in Berlin, das bedeutet: Freier Eintritt für Alle! Mehr 60 Berliner Museen laden… https://t.co/q0QdNMIvm7"
1631717329837989889,2023-03-03 18:05:01+00:00,"Wir können die linke Kraft sein, die beweist, dass die großen Herausforderungen der Zukunft nur auf eine sozial ink… https://t.co/gm01jvo8KK"
1631717323680669697,2023-03-03 18:05:00+00:00,"Wir werden dagegen die starke soziale Opposition sein, die einer CDU im Rathaus Feuer unterm Hintern macht, die Wid… https://t.co/X64cvA8eue"
1631717321818480669,2023-03-03 18:05:00+00:00,"Es gab und gibt absolut keine Notwendigkeit, unsere Stadt von der rückwärtsgewandten CDU regieren zu lassen. Wer *w… https://t.co/GtaLXK2Cw0"
1631717319922655245,2023-03-03 18:04:59+00:00,"Wir hatten in den Sondierungen keine unlösbaren Schwierigkeiten – und so hatten wir durchaus den Eindruck gewonnen,… https://t.co/PhUDD63md1"
1631717317145927681,2023-03-03 18:04:58+00:00,"Wir als #BerlinerLinke haben bei dieser Wiederholungswahl hart gekämpft, wir haben gut gekämpft und wir haben uns d… https://t.co/N0k8jsMeNR"
1631391865416065045,2023-03-02 20:31:45+00:00,Der 10. European Month of Photography #EMOP in #Berlin ist eröffnet! Über 100 Ausstellungen im kommenden Monat mit… https://t.co/pOYZdgfDhP
1631302617161760774,2023-03-02 14:37:06+00:00,Dickes Dankeschön an Projektleiter Dr. Ibou Diop und allen Engagierten aus der Zivilgesellschaft für ihre Arbeit! E… https://t.co/edczcasaCQ
1631302599818240000,2023-03-02 14:37:02+00:00,Beim Follow-Up-Event zum gesamtstädtischen Erinnerungskonzept zur Aufarbeitung des #Kolonialismus in #Berlin werden… https://t.co/rRWaJzXFFL
1630935543704944640,2023-03-01 14:18:29+00:00,Auf das Schwule Museum wurden Schüsse abgefeuert. Ich bin geschockt über diese entsetzliche Tat! Meine volle Solida… https://t.co/utCJrXynJs
1630641349266382848,2023-02-28 18:49:28+00:00,"Wege zum sozialen Zusammenhalt und für forcierten sozialen Wohnungsbau, für sozialökologische Transformation und we… https://t.co/GhjKeomlPn"
1630641347475456001,2023-02-28 18:49:27+00:00,"durchaus den Eindruck gewonnen, mit #RGR die offenen Aufgaben aus dem Koalitionsvertrag bis 2026 genauso abarbeiten… https://t.co/heRV4pJuOx"
1630641345378304012,2023-02-28 18:49:27+00:00,Der Landesvorstand der Partei @dielinkeberlin hat das Ergebnis der Sondierungen mit @spdberlin und @gruene_berlin h… https://t.co/dT75AuLn4O
1630634141912842245,2023-02-28 18:20:49+00:00,"RT @arnesemsrott: Fun Fact: Wenn die SPD in Berlin eine Koalition mit der CDU eingeht, ist der Bundesrat futsch. Dann hat die Union bis zum…"
1630239589230149634,2023-02-27 16:13:01+00:00,"So, die Sondierungen sind für uns als @dielinkeberlin geschafft. Jetzt beraten wir uns in den Gremien. Und an unser… https://t.co/de4txis23B"
